epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,506.088,1.43009,2.7033,0.01409,0.42595,0.32927,0.28301,0.16601,1.57956,2.5972,0.02561,0.000332767,0.000332767,0.000332767
2,993.036,1.57759,2.13372,0.01645,0.38801,0.32465,0.26799,0.14957,1.66323,2.5598,0.02728,0.00065511,0.00065511,0.00065511
3,1477.9,1.60346,2.11089,0.0168,0.43325,0.33881,0.30681,0.17632,1.65031,2.41705,0.02738,0.000966453,0.000966453,0.000966453
4,1961.87,1.56538,2.08765,0.01656,0.42605,0.3362,0.31091,0.19142,1.54957,2.44108,0.02384,0.0009505,0.0009505,0.0009505
5,2446.27,1.54314,1.97365,0.01577,0.49814,0.39975,0.38018,0.23325,1.54086,2.21678,0.02361,0.000934,0.000934,0.000934
6,2930.38,1.52751,1.896,0.01531,0.54711,0.39246,0.40912,0.25647,1.48582,1.98949,0.0218,0.0009175,0.0009175,0.0009175
